,region,AveragePrice,Total Volume,latitude,longitude,geometry
0,Albany,1.561035503,47537.86973,42.65155029,-73.75521088,POINT (-73.75521087646484 42.65155029296875)
1,Atlanta,1.33795858,262145.322,33.74831009,-84.39111328,POINT (-84.39111328125 33.74831008911133)
2,BaltimoreWashington,1.534230769,398561.8915,39.18373871,-76.67420959,POINT (-76.67420959472656 39.18373870849609)
3,Boise,1.348136095,42642.56731,43.60763931,-116.1933975,POINT (-116.1933975219727 43.60763931274414)
4,Boston,1.530887574,287792.8545,42.35866165,-71.05673981,POINT (-71.05673980712891 42.35866165161133)
5,BuffaloRochester,1.51683432,67936.30296,42.88544083,-78.87846375,POINT (-78.87846374511719 42.88544082641602)
6,California,1.395325444,3044324.418,37.25510025,-119.6175232,POINT (-119.6175231933594 37.25510025024414)
7,Charlotte,1.606035503,105193.9184,35.22285843,-80.83795929,POINT (-80.83795928955078 35.22285842895508)
8,Chicago,1.556775148,395569.0488,41.88425064,-87.63244629,POINT (-87.6324462890625 41.88425064086914)
9,CincinnatiDayton,1.209201183,131721.9159,39.10712814,-84.5041275,POINT (-84.50412750244141 39.10712814331055)
10,Columbus,1.252781065,88737.75568,39.96199036,-83.00274658,POINT (-83.00274658203125 39.96199035644531)
11,DallasFtWorth,1.085591716,616625.1081,32.77822113,-96.79512024,POINT (-96.79512023925781 32.77822113037109)
12,Denver,1.218579882,410954.2485,39.74000931,-104.9920197,POINT (-104.9920196533203 39.74000930786133)
13,Detroit,1.276094675,187640.294,42.3316803,-83.04799652,POINT (-83.04799652099609 42.33168029785156)
14,GrandRapids,1.505,89383.83411,42.96641922,-85.67195129,POINT (-85.67195129394531 42.9664192199707)
16,HarrisburgScranton,1.513284024,123694.8482,40.25986099,-76.88223267,POINT (-76.88223266601563 40.25986099243164)
17,HartfordSpringfield,1.818639053,149912.8327,39.80130005,-89.64360046,POINT (-89.64360046386719 39.80130004882813)
18,Houston,1.047928994,601088.3663,29.76058006,-95.36968231,POINT (-95.36968231201172 29.76058006286621)
19,Indianapolis,1.313994083,89536.66104,39.76691055,-86.14996338,POINT (-86.14996337890625 39.76691055297852)
20,Jacksonville,1.510946746,85177.52882,30.33147049,-81.65621948,POINT (-81.65621948242188 30.33147048950195)
21,LasVegas,1.38091716,160878.4213,36.17192841,-115.140007,POINT (-115.140007019043 36.17192840576172)
22,LosAngeles,1.216005917,1502652.508,34.05348969,-118.2453232,POINT (-118.2453231811523 34.05348968505859)
23,Louisville,1.286686391,47624.26746,38.25489044,-85.7666626,POINT (-85.76666259765625 38.25489044189453)
24,MiamiFtLauderdale,1.428491124,288974.0356,25.79072952,-80.16264343,POINT (-80.16264343261719 25.79072952270508)
26,Nashville,1.212100592,105361.2107,36.16783905,-86.7781601,POINT (-86.77816009521484 36.16783905029297)
27,NewOrleansMobile,1.304792899,135192.7118,29.95369911,-90.07775116,POINT (-90.07775115966797 29.95369911193848)
28,NewYork,1.727573964,712231.1465,40.71455002,-74.00714111,POINT (-74.00714111328125 40.71455001831055)
30,NorthernNewEngland,1.47739645,211635.7814,44.0830574,-70.58229828,POINT (-70.58229827880859 44.08305740356445)
31,Orlando,1.506213018,173552.3784,28.5382309,-81.377388,POINT (-81.37738800048828 28.53823089599609)
32,Philadelphia,1.632130178,212540.823,39.95222092,-75.16217804,POINT (-75.16217803955078 39.95222091674805)
33,PhoenixTucson,1.22443787,578826.3683,33.44824982,-112.075798,POINT (-112.075798034668 33.44824981689453)
34,Pittsburgh,1.364319527,55640.07636,40.43851089,-79.99733734,POINT (-79.99733734130859 40.43851089477539)
36,Portland,1.317721893,327077.5491,45.51179123,-122.6756287,POINT (-122.6756286621094 45.51179122924805)
37,RaleighGreensboro,1.555118343,142611.6321,35.78548813,-78.64272308,POINT (-78.64272308349609 35.78548812866211)
38,RichmondNorfolk,1.291331361,124943.3475,37.54067993,-77.43367004,POINT (-77.43367004394531 37.54067993164063)
39,Roanoke,1.247928994,74088.78938,37.27151871,-79.94056702,POINT (-79.94056701660156 37.27151870727539)
40,Sacramento,1.621568047,222377.9493,38.57944107,-121.4908524,POINT (-121.490852355957 38.57944107055664)
41,SanDiego,1.39816568,265656.5671,32.71567917,-117.1617126,POINT (-117.1617126464844 32.71567916870117)
42,SanFrancisco,1.804201183,401864.4727,37.77711868,-122.4196396,POINT (-122.4196395874023 37.77711868286133)
43,Seattle,1.442573964,323118.8697,47.60356903,-122.3294525,POINT (-122.3294525146484 47.60356903076172)
44,SouthCarolina,1.403284024,179744.8902,33.90385437,-80.89376831,POINT (-80.89376831054688 33.90385437011719)
47,Spokane,1.445591716,46051.11089,47.65726089,-117.4122772,POINT (-117.4122772216797 47.65726089477539)
48,StLouis,1.430621302,94890.03944,38.6277504,-90.19956207,POINT (-90.19956207275391 38.62775039672852)
49,Syracuse,1.520325444,32374.75645,43.05041885,-76.14737701,POINT (-76.14737701416016 43.05041885375977)
50,Tampa,1.408846154,195279.7021,27.94652939,-82.45926666,POINT (-82.45926666259766 27.94652938842773)
53,WestTexNewMexico,1.261701493,431408.477,34.42132187,-106.1084061,POINT (-106.1084060668945 34.42132186889648)
